Id,Name,Type,Details,ResponseDate,BillNumber
GOV7,Maura T. Healey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/GOV7,2023-03-01T15:21:54.853,H1
,Public Employee Retirement Administration Commission,4.0,,2023-03-06T14:55:05.15,H10
PAS1,"Paul A. Schmid, III",1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PAS1,2023-01-17T17:49:19.59,H100
WJD1,"William J. Driscoll, Jr.",1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WJD1,2023-01-17T15:52:55.117,H1000
WJD1,"William J. Driscoll, Jr.",1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WJD1,2023-01-17T16:23:45.66,H1001
PJD2,Peter J. Durant,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PJD2,2023-01-17T15:32:46.07,H1002
RME1,Rodney M. Elliott,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/RME1,2023-01-19T12:42:27.503,H1003
KNF1,Kimberly N. Ferguson,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/KNF1,2023-01-13T15:10:07.053,H1004
MJF1,Michael J. Finn,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MJF1,2023-01-20T11:54:55.783,H1005
MJF1,Michael J. Finn,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MJF1,2023-01-20T12:10:36.747,H1006
MJF1,Michael J. Finn,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MJF1,2023-01-20T12:55:05.14,H1007
MJF1,Michael J. Finn,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/MJF1,2023-01-20T14:15:39.677,H1008
CAF1,Carole A. Fiola,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CAF1,2023-01-17T10:37:41.68,H1009
PAS1,"Paul A. Schmid, III",1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/PAS1,2023-01-17T17:53:40.773,H101
CAF1,Carole A. Fiola,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CAF1,2023-01-12T10:18:54.523,H1010
WCG1,William C. Galvin,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WCG1,2023-01-10T13:25:45.8,H1011
WCG1,William C. Galvin,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WCG1,2023-01-10T13:32:17.27,H1012
WCG1,William C. Galvin,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WCG1,2023-01-10T13:43:19.217,H1013
S_G1,Sean Garballey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_G1,2023-01-17T15:17:57.023,H1014
S_G1,Sean Garballey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_G1,2023-01-17T15:19:36.013,H1015
S_G1,Sean Garballey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_G1,2023-01-18T14:01:51.017,H1016
S_G1,Sean Garballey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_G1,2023-01-18T15:09:53.297,H1017
S_G1,Sean Garballey,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/S_G1,2023-01-20T10:43:15.03,H1018
CMG1,Colleen M. Garry,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CMG1,2023-01-10T15:12:38.293,H1019
WMS1,William M. Straus,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/WMS1,2023-01-18T13:53:36.173,H102
CMG1,Colleen M. Garry,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CMG1,2023-01-10T15:06:51.49,H1020
CMG1,Colleen M. Garry,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CMG1,2023-01-10T14:52:03.82,H1021
CMG1,Colleen M. Garry,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CMG1,2023-01-10T14:50:57.747,H1022
CLG1,Carmine Lawrence Gentile,1.0,http://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/CLG1,2023-01-18T13:13:51.6,H1023
